age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
40,F,513,En Couple,2,false,8638 TQ 28
47,M,546,Célibataire,0,false,1673 XO 64
27,Homme,505,En Couple,0,false,3226 JN 69
26,M,527,En Couple,1,false,4198 RJ 72
35,M,489,En Couple,3,false,4491 LL 56
20,M,1059,Célibataire,0,false,9433 KO 45
19,M,507,Célibataire,0,false,4945 ZP 98
76,F,1222,En Couple,0,false,376 WN 83
26,M,154,Célibataire,0,false,5175 XJ 18
61,M,1292,En Couple,0,false,931 PG 41
83,M,593,Célibataire,0,false,6836 BP 45
40,M,1039,En Couple,1,false,9044 VD 92
29,M,536,En Couple,1,false,1829 HQ 31
47,F,209,Célibataire,0,false,3807 EZ 21
47,M,563,En Couple,2,false,3382 YO 89
56,F,165,Célibataire,0,false,1044 XB 74
47,M,463,Célibataire,0,false,6504 AR 40
20,M,159,En Couple,3,true,9066 RZ 11
25,F,587,Célibataire,0,false,2041 GB 89
78,M,559,Célibataire,0,false,1220 ZA 66
52,F,180,En Couple,1,false,8001 MA 81
27,M,1376,En Couple,3,true,4685 NC 59
27,M,1235,En Couple,1,false,2593 RT 91
26,M,222,En Couple,4,false,9245 PA 29
29,F,500,Seule,2,false,611 LQ 22
33,F,773,Célibataire,0,false,9859 XW 16
77,M,443,En Couple,2,false,9839 PV 44
30,M,857,En Couple,4,false,330 SE 24
36,F,244,Célibataire,0,false,7826 TO 94
39,M,507,Seule,3,false,5990 OA 15
58,M,1397,Célibataire,0,false,662 TO 19
28,M,1276,Célibataire,0,false,2854 CT 41
53,M,1262,En Couple,3,false,2126 ED 91
75,M,543,Célibataire,0,false,1601 YM 39
46,M,445,En Couple,4,true,5832 YH 16
29,F,810,En Couple,3,false,1963 DE 11
27,M,509,En Couple,2,false,3259 KM 59
23,M,242,En Couple,0,false,1134 BL 57
20,F,182,En Couple,0,true,6936 CJ 76
25,F,1304,En Couple,0,false,3427 ZM 29
33,M,771,Célibataire,0,false,9547 TN 44
75,F,1123,En Couple,1,false,2729 HU 48
59,M,555,En Couple,1,false,4985 BP 43
29,M,998,En Couple,2,false,7674 HR 61
24,M,414,Seule,2,false,4577 HK 95
81,F,1283,Célibataire,0,false,1482 VS 76
77,M,983,En Couple,4,true,4781 OO 30
50,M,469,En Couple,1,false,4825 RV 49
26,M,458,En Couple,0,false,7664 RK 95
40,M,1138,En Couple,2,false,1342 EG 92
20,F,502,En Couple,4,false,5190 GP 87
58,M,475,En Couple,4,false,5883 UM 32
23,M,547,En Couple,2,false,7528 VW 49
59,F,207,En Couple,1,false,9486 NP 63
32,M,578,En Couple,3,true,9464 AF 17
79,M,567,Célibataire,0,false,6491 VD 56
20,M,470,En Couple,1,false,1311 AW 77
43,M,1234,En Couple,2,false,4644 OE 58
39,M,534,En Couple,0,false,2163 CD 67
21,F,419,Célibataire,0,false,6579 XP 31
40,M,954,Célibataire,0,false,9221 WG 29
63,M,548,En Couple,4,true,3724 FD 80
19,M,1344,En Couple,2,false,1116 GB 84
70,M,1062,En Couple,2,false,1326 LP 71
59,F,456,Seule,2,false,6077 CH 97
25,M,166,En Couple,2,false,9568 EL 42
26,M,452,Célibataire,0,false,452 LR 64
39,M,1174,Célibataire,0,false,3285 VH 31
27,F,939,En Couple,4,false,4570 PM 83
